sensor_name,sensor_type,Lat,Long
Foster_Ave ,environmental,41.975881,-87.70485
Central_Park_Ave,environmental,41.973242,-87.718289
Addison_st,environmental,41.946783,-87.696339
Division_st,environmental,41.903617,-87.657264
Clark_st,environmental,41.887792,-87.630767
Loomis_st,environmental,41.846125,-87.660667
I55,environmental,41.839567,-87.664686
36th_st,environmental,41.829125,-87.657892
Cicero_ave,environmental,41.819767,-87.743233
BO_RR,environmental,41.78325,-87.826081
Halsted_miniDOT,environmental,41.84913079,-87.64675993
sampsons_slip_miniDOT,environmental,41.84910251,-87.65970864
139251,receiver,41.8458209,-87.66110608
139253,receiver,41.97303,-87.7119
139254,receiver,41.839284,-87.664193
139255,receiver,41.79653,-87.812297
139256,receiver,41.85539,-87.636933
139257,receiver,41.830209,-87.657685
139258,receiver,41.9784843,-87.7052795
139259,receiver,41.9109025,-87.6572115
139261,receiver,41.8368666,-87.6878338
139262,receiver,41.819253,-87.7437863
139263,receiver,41.8502006,-87.6621333
139264,receiver,41.831372,-87.7048796
139265,receiver,41.849356,-87.659614
139266,receiver,41.9721868,-87.7035694
139267,receiver,41.909265,-87.6538377
139268,receiver,41.847959,-87.664796
139269,receiver,41.9070036,-87.652125
139270,receiver,41.9583429,-87.6946206
139271,receiver,41.9022861,-87.656331
139272,receiver,41.84914,-87.646286
139274,receiver,41.9037499,-87.649745
139275,receiver,41.9155254,-87.6635769
139276,receiver,41.8415938,-87.6752158
490315,receiver,41.841192,-87.671334
490316,receiver,41.83590038,-87.66196803
490317,receiver,41.88822,-87.626869
490318,receiver,41.878189,-87.638069
490319,receiver,41.8885387,-87.63923
490320,receiver,41.844704,-87.666097
490321,receiver,41.888713,-87.614373
490322,receiver,41.89042568,-87.61357148
490323,receiver,41.8438479,-87.663708
490324,receiver,41.8875662,-87.6360884
