Species,Length_mm,Weight_g,Sex,Tag_number,Transmitter ID
Largemouth_bass,311,,Unknown,17915,A69-1604-17915
Largemouth_bass,310,,Unknown,17916,A69-1604-17916
Largemouth_bass,295,,Unknown,17917,A69-1604-17917
Largemouth_bass,450,,Unknown,17918,A69-1604-17918
Bluegill,205,,Unknown,17919,A69-1604-17919
Bluegill,199,,Unknown,17920,A69-1604-17920
Bluegill,197,,Unknown,17921,A69-1604-17921
Pumpkinseed,180,,Unknown,17922,A69-1604-17922
Bluegill,190,,Unknown,17923,A69-1604-17923
Bluegill,170,,Unknown,17924,A69-1604-17924
Black_crappie,259,,Unknown,17925,A69-1604-17925
Pumpkinseed,181,,Unknown,17926,A69-1604-17926
Pumpkinseed,172,,Unknown,17927,A69-1604-17927
Common_carp,550,,Unknown,9052,A69-9002-9052
Largemouth_bass,309,,Unknown,17928,A69-1604-17928
Largemouth_bass,285,,Unknown,17929,A69-1604-17929
Largemouth_bass,285,,Unknown,17930,A69-1604-17930
Largemouth_bass,300,,Unknown,17931,A69-1604-17931
Walleye,519,1435,Unknown,9053,A69-9002-9053
Largemouth_bass,342,,Unknown,17932,A69-1604-17932
Largemouth_bass,273,,Unknown,17933,A69-1604-17933
Largemouth_bass,340,,Unknown,17934,A69-1604-17934
Largemouth_bass,371,,Unknown,17935,A69-1604-17935
Largemouth_bass,272,,Unknown,17936,A69-1604-17936
Largemouth_bass,272,,Unknown,17937,A69-1604-17937
Largemouth_bass,293,,Unknown,17938,A69-1604-17938
Largemouth_bass,331,,Unknown,17939,A69-1604-17939
Largemouth_bass,276,,Unknown,17940,A69-1604-17940
Largemouth_bass,365,,Unknown,17941,A69-1604-17941
Largemouth_bass,288,,Unknown,17942,A69-1604-17942
Largemouth_bass,240,,Unknown,17943,A69-1604-17943
Common_carp,660,,Unknown,9076,A69-9002-9076
Common_carp,674,,Unknown,9054,A69-9002-9054
Common_carp,607,,Female,9055,A69-9002-9055
Common_carp,544,,Female,9056,A69-9002-9056
Common_carp,505,,Male,9057,A69-9002-9057
Common_carp,585,,Unknown,9058,A69-9002-9058
Common_carp,451,,Female,9059,A69-9002-9059
Common_carp,567,,Male,9060,A69-9002-9060
Common_carp,545,,Male,9061,A69-9002-9061
Black_crappie,274,,Unknown,17944,A69-1604-17944
Bluegill,211,,Unknown,17945,A69-1604-17945
Bluegill,213,,Unknown,17946,A69-1604-17946
Bluegill,214,,Unknown,17947,A69-1604-17947
Bluegill,203,,Unknown,17948,A69-1604-17948
Bluegill,198,,Unknown,17949,A69-1604-17949
Bluegill,202,,Unknown,17950,A69-1604-17950
Bluegill,209,,Female,17951,A69-1604-17951
Bluegill_x_green_sunfish,190,,Unknown,17952,A69-1604-17952
Bluegill,189,,Unknown,17953,A69-1604-17953
Bluegill,196,,Unknown,17954,A69-1604-17954
Largemouth_bass,315,,Unknown,17955,A69-1604-17955
Largemouth_bass,262,,Unknown,17956,A69-1604-17956
Common_carp,615,,Unknown,9062,A69-9002-9062
Common_carp,634,,Male,9063,A69-9002-9063
Common_carp,618,,Female,9064,A69-9002-9064
Common_carp,514,,Unknown,9065,A69-9002-9065
Common_carp,632,,Unknown,9066,A69-9002-9066
Common_carp,675,,Male,9067,A69-9002-9067
Common_carp,632,,Male,9068,A69-9002-9068
Common_carp,529,,Male,9069,A69-9002-9069
Largemouth_bass,351,,Unknown,17958,A69-1604-17958
Largemouth_bass,309,,Unknown,17959,A69-1604-17959
Largemouth_bass,384,,Unknown,17960,A69-1604-17960
Common_carp,682,,Unknown,9070,A69-9002-9070
Common_carp,597,,Unknown,9071,A69-9002-9071
Common_carp,569,,Unknown,9072,A69-9002-9072
Common_carp,568,,Unknown,9073,A69-9002-9073
Common_carp,596,,Male,9074,A69-9002-9074
Common_carp,599,,Male,9075,A69-9002-9075
Largemouth_bass,391,,Unknown,17961,A69-1604-17961
Largemouth_bass,364,,Unknown,17962,A69-1604-17962
Bluegill,180,,Unknown,17963,A69-1604-17963
Bluegill_x_pumpkinseed,193,,Unknown,17964,A69-1604-17964
Green_sunfish,164,,Unknown,17965,A69-1604-17965
Largemouth_bass,234,,Unknown,17966,A69-1604-17966
Largemouth_bass,235,,Unknown,17967,A69-1604-17967
Largemouth_bass,301,,Unknown,17968,A69-1604-17968
Largemouth_bass,297,,Unknown,17969,A69-1604-17969
Largemouth_bass,264,,Unknown,17957,A69-1604-17957
